zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
03455,13.1,94.2,36.1
49814,2.4,94.2,15.1
42028,2.2,88.8,9.1
32259,18,97.8,53.7
14881,16,95.1,62.4
62899,0.9,81.5,13
65556,4.1,83.7,11.8
33322,11.9,89.8,31
50231,8.6,91.4,22.7
47963,3.7,85.3,15.4
47108,1.7,77.8,6.8
54921,3.6,81.6,12.4
14748,5.7,78.3,11.1
91759,27.8,94.4,44.1
40272,4.4,85,13.1
52533,5.5,96.6,8.8
48829,3.3,91.9,13.6
83677,0,100,0
41535,4,81.9,9.9
95341,1.2,56.4,7.6
31788,3.8,74.6,13.2
13102,0,50,0
69135,0,100,11.9
45342,10.1,91.4,28.6
16374,6,90.2,17.7
22842,4.3,85.4,15.4
02143,35.2,92.8,70.4
49428,9.3,95.3,31.2
85355,9,93.5,27
14131,7,89.9,17.5
44853,4.8,96.6,12.8
37846,6.4,77.4,11.6
96130,4.3,78.5,10.5
46254,10,87.3,29.2
94534,11.5,94,39.6
60481,4.3,91.1,13.6
18431,8.7,91.1,22.8
62013,2.4,89.5,9.5
38965,5.5,82.2,16
35593,5.6,70.5,14.6
84651,7.5,91.5,25.3
77079,25.6,93.4,64.3
32443,7.4,84.7,15.3
45316,5.1,94.9,25.4
94582,33.3,97.7,73.6
30425,7.4,86.2,14.9
73624,1.4,89,15.2
53937,3.5,83.4,14.9
53191,19.8,94.2,41.3
99827,12.9,96.3,34.2
15949,3.3,88.1,6.3
03049,32.8,98.4,63.5
72835,12,80.6,20.2
46923,5.5,86.7,17.4
44807,2.1,93.5,4.3
34760,4.1,88.6,19.2
82428,9.1,90.9,24.2
79370,5.8,76.1,13.6
04108,31.6,97.6,65.4
12571,20.7,93.2,41.4
17860,8.6,88.4,25.5
05857,5.3,84.2,20.6
93258,1.1,47.4,5
27876,7.2,81.5,17.4
83861,4.5,88.4,14.2
61755,11.7,95.9,41.8
12746,8.1,94.4,17.7
71049,2.2,88.4,7.2
58060,2.5,91.8,20.3
43832,4,84.6,14.3
54931,4.8,97.6,6.7
59063,6.6,97.5,26.9
40442,5.4,76,13.9
66749,8.1,93.2,21.9
60973,2.5,93.5,18.1
99011,13.8,97.2,36.4
51550,0,89.5,4.8
64136,5,94.3,17.1
29690,9.4,83.9,22.1
15767,5.1,86.2,17
77970,0.7,70.3,12.1
22952,4.3,87.1,22.9
60097,10.1,94.4,22.1
29205,27.8,92.8,58.8
27360,3.6,82,14.9
19954,3.4,88.7,6.8
04107,27.7,99.1,68.5
28103,2.7,86.3,13.5
94080,7.3,85.1,33
56243,5.3,91.8,16
99032,9.7,91.8,22.9
99702,18.8,96.7,37.2
52625,3.7,95.9,15.3
95679,50,100,100
85619,0,100,19.4
17104,4,75.7,13
45224,12.7,89,31
98801,11.2,82.8,26.7
59925,5.7,95.3,18.5
74653,7.3,87,21.5
24916,2,73.4,4.4
75152,2.2,75.5,12.3
19944,17,97.3,45.4
10465,10.9,83.2,25.7
54945,7.8,91.7,22.7
63079,0,100,0
61936,0,85.9,0
40370,7.8,86.1,21.8
25085,0.8,67.7,8.1
40514,24.6,97.5,54.2
47023,2,87,21.1
50571,1.3,93.8,12.5
55370,3.9,94.8,19.4
02461,54.1,97.7,84.6
89436,10.8,92.9,31.3
27853,0,77.2,0
39347,4,83.6,12.4
33761,10.6,95.4,34.7
