mean,median,stdev,lat,lon,zip_code
75455.0,56087.5,58106.5,42.1962,-71.7665,01527
121888.5,106872.0,78150.5,42.3234,-71.6257,01532
75147.0,61931.0,53135.5,42.2694,-72.0755,01535
101513.0,87279.0,63629.0,42.2591,-71.7062,01536
56404.0,300000.0,34604.0,42.1355,-71.8565,01540
136849.0,300000.0,64752.0,42.2936,-71.6951,01545
69361.5,181494.5,48322.5,42.0588,-72.0373,01550
92109.0,60640.0,76784.0,42.1763,-71.6824,01560
45163.0,36772.0,36297.0,42.2486,-71.9931,01562
112346.5,97858.5,69071.5,42.4479,-71.776,01564
79570.0,57130.0,63687.0,42.1244,-72.0793,01566
76887.0,57452.0,59180.0,42.1526,-71.6468,01568
124378.0,300000.0,65629.0,42.0564,-71.6404,01569
85824.0,68440.0,64486.0,42.0544,-71.8418,01570
56924.0,48194.0,43246.5,42.0508,-71.8867,01571
142576.0,300000.0,73840.0,42.2588,-71.655,01581
115656.0,102279.0,73444.0,42.3746,-71.7863,01583
74814.0,63671.0,58177.0,42.1188,-71.6725,01588
68931.0,172243.0,51416.0,42.2758,-71.8535,01602
64412.0,51840.25,50463.0,42.2442,-71.8415,01603
47648.25,34873.75,38881.25,42.2532,-71.7875,01604
93830.5,76986.0,72962.5,42.2881,-71.808,01605
66872.0,209145.0,45694.67,42.3067,-71.7865,01606
74550.0,300000.0,50643.0,42.2288,-71.7749,01607
37215.0,30459.33,32498.67,42.2636,-71.8048,01609
32247.0,30332.0,26437.0,42.245,-71.8264,01610
111571.0,88986.0,72067.0,42.3117,-71.9403,01612
94555.25,191803.25,63887.25,42.3255,-71.4254,01701
77812.0,77895.0,47518.0,42.2684,-71.4289,01702
118890.0,124665.0,73967.0,42.465,-71.4298,01720
80009.0,300000.0,71706.0,42.2762,-71.4822,01721
136709.0,122331.0,77072.0,42.4917,-71.2941,01730
148988.0,300000.0,73934.0,42.4399,-71.6019,01740
151855.0,152284.0,81996.0,42.5366,-71.3618,01741
136270.0,230164.5,88143.0,42.4602,-71.3583,01742
111854.33,173074.0,71018.33,42.2006,-71.4426,01746
146861.0,156100.0,69951.0,42.2204,-71.5721,01748
90736.5,85099.5,61618.5,42.3899,-71.5418,01749
90568.0,149935.67,57045.0,42.3454,-71.5417,01752
109797.0,300000.0,79698.0,42.4198,-71.451,01754
74948.33,63325.0,58228.67,42.1456,-71.5207,01757
124697.5,161122.0,71400.5,42.291,-71.3653,01760
157890.0,157833.0,75415.0,42.3009,-71.5474,01772
133513.5,135560.5,76704.0,42.4323,-71.5153,01775
