number_of_fastfood,zip_code1,zip_code
2,30024,30024
1,30030,30030
5,30032,30032
1,30032-4157,30032
1,30033,30033
2,30034,30034
1,30038,30038
3,30041,30041
2,30043,30043
2,30044,30044
1,30045,30045
1,30046,30046
2,30047,30047
2,30052,30052
2,30058,30058
3,30060,30060
1,30060-9208,30060
1,30064,30064
5,30066,30066
1,30067,30067
3,30071,30071
3,30075,30075
2,30076,30076
2,30078,30078
1,30080,30080
2,30083,30083
1,30084,30084
3,30092,30092
2,30094,30094
1,30097,30097
1,30101,30101
1,30102,30102
1,30103,30103
1,30106,30106
5,30114,30114
1,30115,30115
3,30117,30117
2,30120,30120
1,30125,30125
1,30134,30134
1,30135,30135
1,30135-1511,30135
1,30141,30141
1,30143,30143
2,30144,30144
1,30152,30152
2,30153,30153
2,30161,30161
2,30165,30165
2,30168,30168
3,30188,30188
1,30189,30189
1,30213,30213
3,30214,30214
3,30223,30223
1,30223-1754,30223
3,30233,30233
2,30236,30236
2,30240,30240
1,30248,30248
1,30252,30252
2,30253,30253
1,30260,30260
1,30265,30265
2,30268,30268
1,30269,30269
1,30272,30272
1,30274,30274
1,30276,30276
4,30281,30281
1,30281-6380,30281
1,30294,30294
1,30295,30295
2,30303,30303
1,30305,30305
1,30308,30308
1,30309,30309
1,30311,30311
1,30316,30316
1,30318,30318
1,30320,30320
3,30328,30328
3,30329,30329
3,30331,30331
3,30336,30336
1,30337,30337
3,30338,30338
3,30339,30339
2,30341,30341
1,30344,30344
1,30345,30345
1,30349,30349
4,30350,30350
1,30360,30360
2,3038,3038
6,30401,30401
3,3042,3042
1,30453,30453
4,30458,30458
2,30474,30474
3,30501,30501
1,30512,30512
3,30513,30513
1,30517,30517
3,30518,30518
1,30518-1714,30518
1,30519,30519
1,30525,30525
1,30529,30529
3,30534,30534
1,30539,30539
1,3054,3054
2,30540,30540
4,30542,30542
1,30549,30549
1,30566,30566
4,3060,3060
1,30601,30601
2,30605,30605
2,30606,30606
2,3063,3063
1,30655,30655
2,30662,30662
3,30680,30680
1,30680-2081,30680
1,30701,30701
1,30707,30707
2,30720,30720
1,30721,30721
1,30736,30736
1,30741,30741
1,30742,30742
1,30747,30747
1,30752,30752
1,3079,3079
1,30809,30809
1,30813,30813
5,30830,30830
1,30901,30901
1,30904,30904
1,30906,30906
2,30907,30907
2,30909,30909
1,31005,31005
1,31008,31008
1,3102,3102
1,31021,31021
1,31028,31028
2,31029,31029
2,3103,3103
2,31030,31030
1,31032,31032
1,3106,3106
1,31069,31069
2,31093,31093
1,31098,31098
1,31201,31201
1,31204,31204
1,31206,31206
4,31210,31210
1,31211,31211
1,31216,31216
2,31313,31313
1,31314,31314
1,31322,31322
1,31324,31324
3,31326,31326
2,31404,31404
1,31405,31405
2,31406,31406
2,31410,31410
1,31419,31419
1,31501,31501
1,31501-1005,31501
5,31520,31520
1,31522,31522
1,31525,31525
2,31533,31533
1,31537,31537
1,31548,31548
3,31601,31601
3,31602,31602
1,31605,31605
1,31636,31636
2,31643,31643
1,31701,31701
1,31704,31704
4,31707,31707
1,31730,31730
1,31763,31763
3,31792,31792
3,31793,31793
6,31794,31794
1,31901,31901
2,31904,31904
1,31905,31905
1,31906,31906
2,31907,31907
5,31909,31909
3,32055,32055
1,32073,32073
4,32084,32084
1,32091,32091
1,32092,32092
1,32114,32114
1,32117,32117
1,32118,32118
1,32124,32124
2,32127,32127
1,32136,32136
3,32168,32168
2,32174,32174
1,32177,32177
1,32207,32207
2,32216,32216
1,32217,32217
1,32218,32218
1,32219,32219
1,32222,32222
1,32223,32223
2,32225,32225
1,32234,32234
1,32244,32244
2,32246,32246
2,32256,32256
1,32257,32257
1,32259,32259
2,32277,32277
3,32301,32301
1,32303,32303
4,32304,32304
1,32311,32311
1,32340,32340
1,3235,3235
1,32351,32351
2,32401,32401
1,32404,32404
2,32405,32405
2,32407,32407
3,32408,32408
2,32413,32413
2,3246,3246
6,32504,32504
2,32505,32505
1,32506,32506
2,32507,32507
1,32526,32526
1,3253,3253
3,32533,32533
4,32536,32536
1,32542,32542
1,32548,32548
1,32569,32569
3,32571,32571
1,32578,32578
1,32608,32608
1,32628,32628
1,32643,32643
2,32669,32669
1,32694,32694
1,32703,32703
1,32714,32714
1,32726,32726
1,32746,32746
1,32750,32750
1,3276,3276
1,32765,32765
1,32771,32771
1,32780,32780
1,32789,32789
3,32792,32792
1,32805,32805
2,32806,32806
1,32807,32807
4,32808,32808
3,32809,32809
1,32810,32810
1,32811,32811
1,32812,32812
3,32817,32817
2,32819,32819
1,32821,32821
1,32822,32822
1,32826,32826
2,32828,32828
1,32832,32832
1,32835,32835
2,32836,32836
1,32837,32837
1,32837-6636,32837
2,32904,32904
1,32907,32907
1,32909,32909
1,32922,32922
2,32935,32935
1,32952,32952
1,32955,32955
2,32958,32958
1,33009,33009
2,3301,3301
5,33010,33010
2,33013,33013
2,33014,33014
6,33015,33015
5,33016,33016
1,33020,33020
1,33021,33021
1,33023,33023
2,33024,33024
2,33027,33027
1,3303,3303
1,33032,33032
5,33033,33033
3,33034,33034
1,33036,33036
2,33037,33037
2,33040,33040
4,33050,33050
3,33055,33055
1,33060,33060
1,33062,33062
1,33063,33063
3,33065,33065
2,33068,33068
1,33069,33069
1,33070,33070
1,33076,33076
1,33122,33122
1,33125,33125
1,33126,33126
1,33127,33127
2,33130,33130
3,33131,33131
1,33134,33134
2,33137,33137
1,33138,33138
2,33139,33139
1,33142,33142
2,33144,33144
2,33145,33145
3,33155,33155
1,33156,33156
4,33157,33157
3,33160,33160
1,33161,33161
3,33162,33162
4,33165,33165
4,33166,33166
2,33168,33168
1,33169,33169
2,33174,33174
1,33175,33175
1,33177,33177
1,33178,33178
1,33180,33180
4,33181,33181
4,33184,33184
1,33186,33186
1,33189,33189
2,33304,33304
1,33309,33309
5,33311,33311
5,33312,33312
2,33313,33313
1,33314,33314
3,33316,33316
2,33319,33319
1,33323,33323
1,33324,33324
1,33326,33326
1,33328,33328
2,33330,33330
1,33331,33331
2,33351,33351
2,33388,33388
1,33401,33401
1,33403,33403
1,33404,33404
1,33406,33406
5,33411,33411
2,33413,33413
2,33414,33414
3,33415,33415
1,33418,33418
3,33426,33426
1,33435,33435
1,33442,33442
1,33449,33449
1,33460,33460
1,33462,33462
1,33463,33463
1,33467,33467
1,33478,33478
1,33484,33484
1,33486,33486
1,33511,33511
1,33534,33534
1,33548,33548
1,33566,33566
1,33584,33584
2,33594,33594
2,33596,33596
1,33602,33602
1,33605,33605
1,33606,33606
2,33607,33607
2,33609,33609
1,33611,33611
4,33612,33612
2,33614,33614
2,33615,33615
3,33619,33619
1,33629,33629
1,33647,33647
2,33701,33701
1,33702,33702
1,33703,33703
1,33706,33706
2,33707,33707
1,33711,33711
1,33713,33713
1,33759,33759
1,33762,33762
1,33764,33764
2,33765,33765
2,33777,33777
2,33781,33781
1,33801,33801
1,33801-2601,33801
1,33803,33803
1,33809,33809
1,33813,33813
1,33823,33823
1,33825,33825
1,33844,33844
1,33853,33853
1,33859,33859
1,33880,33880
1,33896,33896
1,33901,33901
1,33903,33903
1,33909,33909
2,33912,33912
1,33917,33917
1,33928,33928
1,33936,33936
1,33948,33948
3,33950,33950
1,33971,33971
1,34104,34104
1,34109,34109
1,34110,34110
1,34134,34134
1,34208,34208
1,34209,34209
1,34210,34210
1,34212,34212
1,34221,34221
1,34223,34223
2,34233,34233
1,34234,34234
1,34285,34285
1,34287,34287
1,34288,34288
1,34292,34292
2,3431,3431
1,34453,34453
1,34473,34473
1,3461,3461
1,34652,34652
1,34653,34653
1,34655,34655
1,34668,34668
1,34669,34669
1,34677,34677
2,34684,34684
2,34689,34689
2,34711,34711
1,34714,34714
2,34736,34736
3,34743,34743
1,34744,34744
5,34746,34746
2,34761,34761
1,34769,34769
1,34786,34786
1,34787,34787
2,34788,34788
4,34953,34953
1,34974,34974
4,34986,34986
1,34987,34987
1,34994,34994
2,35004,35004
1,35010,35010
1,35022,35022
5,35023,35023
2,35040,35040
1,35043,35043
2,35045,35045
1,35055,35055
1,35058,35058
1,35062,35062
3,35071,35071
1,35071-4617,35071
1,35080,35080
2,35094,35094
1,35111,35111
4,35121,35121
5,35124,35124
5,35125,35125
1,35126,35126
1,35146,35146
1,35180,35180
1,35204,35204
2,35208,35208
1,35210,35210
1,35211,35211
1,35214,35214
1,35215,35215
1,35217,35217
2,35235,35235
1,35244,35244
2,35404,35404
2,35405,35405
7,35476,35476
1,35501,35501
2,35565,35565
1,35582,35582
1,35594,35594
2,35601,35601
2,35603,35603
3,35611,35611
3,35630,35630
1,35640,35640
1,35653,35653
1,35661,35661
1,35750-8653,35750
1,35759,35759
6,35763,35763
1,35801,35801
3,35810,35810
1,35811,35811
1,35816,35816
2,35901,35901
1,35903,35903
1,35954,35954
1,35960,35960
1,35986,35986
1,36027,36027
1,36043,36043
2,36083,36083
1,36107,36107
3,36109,36109
2,36110,36110
1,36112,36112
1,36116,36116
2,36117,36117
2,36201,36201
4,36203,36203
1,36265,36265
8,36301,36301
2,36303,36303
1,36340,36340
3,36420,36420
4,36426,36426
1,36467,36467
4,36502,36502
4,36507,36507
1,36532,36532
11,36535,36535
1,36542,36542
3,36545,36545
1,36551,36551
1,36560,36560
2,36561,36561
2,36571,36571
1,36575,36575
1,36602,36602
2,36606,36606
1,36607,36607
2,36608,36608
2,36609,36609
2,36618,36618
1,36619,36619
1,36695,36695
1,36732,36732
2,36784,36784
3,36801,36801
1,36830,36830
1,36832,36832
4,36854,36854
4,36867,36867
2,37013,37013
3,37015,37015
3,37027,37027
2,37030,37030
1,37033,37033
1,37040,37040
2,37042,37042
2,37043,37043
1,37055,37055
1,37058,37058
5,37064,37064
2,37066,37066
2,37072,37072
1,37074,37074
2,37076,37076
1,37082,37082
2,37083,37083
3,37086,37086
1,37087-3301,37087
1,37091,37091
1,37096,37096
