,State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
19800,NY,Blauvelt,10913,41.062119,-73.9594843,142796,300000,70846
19801,NY,Brooklyn,11212,40.6552406,-73.90634969999999,47644,40263,37557
19802,NY,Nyack,10960,41.0796809,-73.9171081,113495,99878,75446
19803,NY,Piermont,10968,41.026390899999996,-73.9099866,108479,104362,67634
19804,NY,Massena,13662,44.9443068,-74.8151467,30685,19372,34581
19805,NY,Madrid,13660,44.8170276,-75.15013259999999,60344,45101,53158
19806,NY,Potsdam,13676,44.6317738,-75.0062949,85560,300000,56889
19807,NY,Potsdam,13676,44.7004231,-75.0721503,69942,60394,39163
19808,NY,Ogdensburg,13669,44.718902299999996,-75.45565140000001,0,0,0
19809,NY,Ogdensburg,13669,44.6301791,-75.4907059,45752,40234,32772
19810,NY,Canton,13617,44.544695000000004,-75.1675452,64469,62895,43973
19811,NY,Colton,13625,44.4909995,-74.86071290000001,55909,40913,43159
19812,NY,Brooklyn,11203,40.6446169,-73.92327970000001,78057,64832,58275
19813,NY,Gouverneur,13642,44.2869524,-75.2814193,44445,36086,33239
19814,NY,Gouverneur,13642,44.3550917,-75.4898103,38736,25291,34172
19815,NY,South Glens Falls,12803,43.238977500000004,-73.66714470000001,93161,300000,43801
19816,NY,Lake Luzerne,12846,43.337431200000005,-73.9058689,58545,53145,41791
19817,NY,Greenfield Center,12833,43.1328518,-73.9146085,71548,65751,54829
19818,NY,Schuylerville,12871,43.0530585,-73.65036579999999,104503,101824,66224
19819,NY,Saratoga Springs,12866,43.075954700000004,-73.76432009999999,120515,300000,58010
19820,NY,Saratoga Springs,12866,43.0784434,-73.7921747,22770,20678,14809
19821,NY,Saratoga Springs,12866,43.1000397,-73.7858761,0,0,0
19822,NY,Ballston Lake,12019,42.957873600000006,-73.9919782,85069,300000,47526
19823,NY,Brooklyn,11236,40.647259999999996,-73.907353,88634,82095,63035
19824,NY,Ballston Spa,12020,43.0056402,-73.8544584,60635,300000,44354
19825,NY,Stillwater,12170,42.970296399999995,-73.6910375,81341,300000,61626
19826,NY,Clifton Park,12065,42.824911900000004,-73.75234240000002,82765,300000,63986
19827,NY,Ballston Lake,12019,42.9099745,-73.79769909999999,108408,300000,51606
19828,NY,Clifton Park,12065,42.796685100000005,-73.8116211,99343,88199,59178
19829,NY,Rexford,12148,42.853133,-73.8538042,99616,300000,63087
19830,NY,Schenectady,12308,42.8295375,-73.9161408,41321,20175,46607
19831,NY,Schenectady,12308,42.812220700000005,-73.90908759999999,53047,44144,40256
