number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
1,60010,44930.0,IL,Lake County,29.3,96.3,64.6,158325.5,81064.0,42.155,-88.1682,153745.5
1,60013,25968.0,IL,McHenry County,12.7,96.4,41.5,159766.75,73411.75,42.2342,-88.2187,130324.75
1,60014,48822.0,IL,McHenry County,14.1,92.9,41.0,63899.5,45628.5,42.2466,-88.2997,70140.0
2,60016,59726.0,IL,Cook County,13.5,89.4,39.5,100464.2,47546.0,42.0455,-87.8877,67615.6
1,60018,30519.0,IL,Cook County,7.1,80.6,24.6,59256.67,54279.33,42.0104,-87.8855,73150.0
2,60031,37443.0,IL,Lake County,18.0,94.6,49.2,221246.33,58451.67,42.3761,-87.9417,129296.67
1,60035,29824.0,IL,Lake County,38.3,96.2,71.9,103436.33,77537.0,42.1727,-87.7987,117319.0
2,60046,35132.0,IL,Lake County,15.1,96.1,41.8,69810.75,48250.0,42.4122,-88.0556,78441.5
3,60047,42317.0,IL,Lake County,25.4,95.8,61.2,149118.29,70314.43,42.1916,-88.0451,129439.14
2,60048,29050.0,IL,Lake County,32.0,97.7,69.1,63845.0,54196.0,37.9345,-100.1208,80581.5
1,60050,32387.0,IL,McHenry County,7.4,91.0,24.3,300000.0,48327.0,42.3509,-88.3008,74228.0
1,60051,24154.0,IL,McHenry County,9.8,93.7,27.9,300000.0,52886.0,42.3989,-88.2112,69677.0
1,60060,37763.0,IL,Lake County,16.6,89.0,43.0,139307.0,66123.0,42.2784,-88.0113,104489.5
1,60062,40631.0,IL,Cook County,28.9,96.7,65.4,163148.25,79356.0,42.1319,-87.8477,138516.5
1,60068,37567.0,IL,Cook County,24.1,95.8,57.2,246601.25,61116.25,42.0166,-87.8483,108731.75
2,60073,60828.0,IL,Lake County,6.5,82.0,23.8,54516.75,45632.5,42.3572,-88.0812,65279.5
1,60076,32497.0,IL,Cook County,19.1,89.9,48.4,93201.5,76301.0,42.0422,-87.7338,100523.0
1,60077,28281.0,IL,Cook County,16.2,90.9,43.8,64828.0,57814.2,42.032,-87.7538,73828.2
2,60085,71611.0,IL,Lake County,4.6,69.2,14.4,138714.0,31269.4,42.3535,-87.8542,44207.2
1,60087,25748.0,IL,Lake County,6.5,81.3,19.2,35618.0,47663.0,42.3848,-87.8603,50304.5
2,60089,41642.0,IL,Lake County,28.2,97.4,65.8,87858.75,66796.5,42.1562,-87.9749,100643.0
1,60091,27304.0,IL,Cook County,48.2,98.7,81.7,168690.67,81632.0,42.077,-87.7248,141746.0
1,60099,31242.0,IL,Lake County,5.5,84.9,17.3,56440.0,37410.33,42.441,-87.8393,61395.0
3,60101,39645.0,IL,DuPage County,6.6,76.7,21.4,111801.8,55306.2,41.9307,-88.0065,75830.6
2,60102,32618.0,IL,McHenry County,14.3,94.3,43.3,104450.5,73084.5,42.1503,-88.325,113415.0
1,60103,42437.0,IL,DuPage County,12.6,93.5,44.6,217790.0,55964.67,41.9832,-88.1807,90841.0
1,60107,40916.0,IL,Cook County,7.7,85.4,26.0,148907.0,51605.0,42.0182,-88.161,80064.33
2,60108,22981.0,IL,DuPage County,13.0,91.9,37.3,73019.0,49843.5,41.9523,-88.0946,80102.5
2,60110,39513.0,IL,Kane County,5.6,72.5,18.8,54274.33,52011.0,42.1204,-88.2632,66687.67
2,60115,45923.0,IL,DeKalb County,15.9,93.2,37.4,46476.8,44625.8,41.9332,-88.7646,54256.0
1,60123,48895.0,IL,Kane County,7.4,81.1,23.2,169314.25,47907.75,42.0393,-88.315,66707.0
1,60131,18072.0,IL,Cook County,3.5,82.7,18.8,36331.0,40377.5,41.9248,-87.8651,48850.0
1,60133,38518.0,IL,Cook County,6.2,79.9,23.8,184198.5,43156.0,41.9782,-88.1358,73739.5
1,60137,37798.0,IL,DuPage County,25.6,95.2,60.6,122853.0,73104.67,41.8639,-88.0547,125002.33
3,60148,52486.0,IL,DuPage County,15.8,94.0,43.5,138947.17,46580.17,41.8741,-88.0102,74734.5
1,60178,22207.0,IL,DeKalb County,14.2,94.9,36.7,81556.0,55657.0,42.0187,-88.6803,93525.0
2,60188,43118.0,IL,DuPage County,11.3,90.4,39.7,199679.0,60142.0,41.9267,-88.1593,122097.5
1,60201,43056.0,IL,Cook County,41.3,95.2,69.9,69985.25,60931.0,42.0559,-87.6941,82087.75
2,60302,32258.0,IL,Cook County,38.2,95.7,68.2,67716.8,70579.8,41.8885,-87.7913,87618.2
1,60411,58630.0,IL,Cook County,5.3,82.9,16.4,81749.86,44873.29,41.5093,-87.6344,62111.86
1,60416,9140.0,IL,Grundy County,6.8,94.5,17.9,31457.5,25934.0,41.2702,-88.2889,38682.5
1,60426,29826.0,IL,Cook County,2.4,78.1,9.9,21319.0,31688.25,41.6134,-87.6501,31978.5
1,60430,19978.0,IL,Cook County,18.6,96.2,46.2,77630.0,54241.0,41.549,-87.6609,80326.0
1,60431,22926.0,IL,Will County,9.7,90.8,28.0,178663.5,54199.5,41.5365,-88.1605,71297.0
1,60432,20712.0,IL,Will County,2.9,62.4,8.6,35940.5,25664.5,41.5404,-88.0426,36285.5
3,60435,50095.0,IL,Will County,7.7,86.5,21.1,49624.33,35763.83,41.5447,-88.1166,54925.83
2,60440,53285.0,IL,Will County,9.2,86.8,29.7,100323.8,39905.8,41.6926,-88.085,70249.2
1,60443,21297.0,IL,Cook County,14.3,95.2,34.9,54460.0,38432.0,41.5005,-87.7263,55648.0
1,60445,26201.0,IL,Cook County,5.6,89.3,18.9,48725.0,39184.0,41.6188,-87.7082,58285.0
1,60446,40018.0,IL,Will County,5.4,85.0,24.8,175983.0,58214.5,41.6219,-88.1138,83551.5
2,60453,56791.0,IL,Cook County,10.4,90.4,28.7,116531.71,49230.43,41.7121,-87.7513,68247.14
1,60455,16421.0,IL,Cook County,5.9,80.7,17.2,30898.0,50902.0,41.723,-87.7885,51224.0
2,60477,38421.0,IL,Cook County,9.1,93.2,29.6,66370.33,48494.0,41.5896,-87.7864,72249.67
2,60481,11649.0,IL,Will County,4.3,91.1,13.6,63694.5,46402.0,41.2818,-88.1676,70714.0
5,60506,53708.0,IL,Kane County,8.1,78.7,23.6,119280.25,40165.75,41.7667,-88.3502,58779.5
3,60515,28424.0,IL,DuPage County,24.5,95.3,54.7,155832.33,71014.67,41.8078,-88.0175,101848.0
1,60517,32377.0,IL,DuPage County,19.0,95.9,50.0,77203.33,52676.33,41.7544,-88.0396,86279.0
2,60521,18103.0,IL,DuPage County,41.4,97.8,79.3,197092.0,94311.0,41.7993,-87.926,160991.0
1,60525,31395.0,IL,Cook County,20.8,92.5,48.7,130823.0,71485.5,41.7884,-87.8788,98480.75
1,60526,13565.0,IL,Cook County,23.9,94.7,53.7,39034.0,69315.0,41.8402,-87.8655,69117.0
2,60538,27438.0,IL,Kendall County,10.6,88.9,28.9,182826.5,47715.0,41.718,-88.3474,82441.5
1,60540,44662.0,IL,DuPage County,29.9,96.8,64.7,100333.0,74177.33,41.7605,-88.1651,112359.67
1,60546,15837.0,IL,Cook County,20.6,95.1,45.5,141845.0,49904.0,41.8394,-87.8217,71729.33
2,60559,24772.0,IL,DuPage County,18.0,92.6,42.1,137040.0,61151.67,41.7951,-87.9783,75173.67
1,60563,36696.0,IL,DuPage County,24.1,95.7,59.2,124073.2,71744.0,41.7935,-88.1605,102823.2
2,60564,42423.0,IL,Will County,32.6,97.7,71.3,212332.0,63618.17,41.6942,-88.2028,145566.17
1,60607,28377.0,IL,Cook County,38.8,95.3,78.3,100624.0,68210.25,41.8813,-87.6517,107573.25
1,60608,78072.0,IL,Cook County,8.3,69.5,25.7,38982.0,48515.86,41.8493,-87.6677,55048.86
3,60609,62250.0,IL,Cook County,4.6,73.2,13.0,83887.09,36641.0,41.81399999999999,-87.6552,44434.36
2,60610,38438.0,IL,Cook County,32.4,95.7,72.1,109917.0,77019.8,41.9006,-87.6324,106976.9
1,60614,69817.0,IL,Cook County,34.6,97.7,83.6,93698.83,69918.0,41.92100000000001,-87.6428,104611.33
3,60615,40257.0,IL,Cook County,33.9,93.7,57.3,24707.0,29384.33,41.8025,-87.6143,32140.33
1,60616,52580.0,IL,Cook County,18.6,83.1,40.9,45101.0,39513.67,41.8486,-87.6191,55851.0
1,60617,80002.0,IL,Cook County,5.6,79.1,16.1,35203.4,38688.0,41.7295,-87.5535,45232.7
3,60618,95632.0,IL,Cook County,16.6,83.8,44.9,69217.38,63890.5,41.9499,-87.6996,87061.62
1,60619,62822.0,IL,Cook County,8.9,88.4,22.9,71549.38,46147.88,41.7442,-87.6061,50641.88
1,60620,69299.0,IL,Cook County,6.1,85.0,16.9,29517.3,40794.1,41.7446,-87.6484,43896.9
1,60624,38134.0,IL,Cook County,2.3,74.6,7.4,29773.2,35226.0,41.8792,-87.7192,38368.2
1,60625,79157.0,IL,Cook County,17.8,84.5,48.1,107481.0,52487.3,41.9733,-87.7104,73673.4
1,60626,50090.0,IL,Cook County,18.7,87.4,44.4,56306.33,55987.33,42.0096,-87.6689,73736.67
4,60630,57627.0,IL,Cook County,12.1,88.5,35.2,56816.0,61768.67,41.9674,-87.7724,71499.67
1,60632,91668.0,IL,Cook County,2.4,62.9,9.6,62192.9,34676.1,41.8079,-87.7057,46336.9
3,60634,73382.0,IL,Cook County,7.2,85.7,23.3,59517.25,55430.0,41.9429,-87.79700000000001,72439.88
1,60636,35779.0,IL,Cook County,3.5,78.7,9.3,27106.0,31450.4,41.7799,-87.6693,34994.2
4,60638,57746.0,IL,Cook County,6.4,84.2,19.8,84854.12,46787.75,41.7926,-87.7685,65650.75
4,60639,90211.0,IL,Cook County,3.4,62.1,11.7,39990.62,37510.75,41.9227,-87.7501,48458.38
2,60640,67088.0,IL,Cook County,21.5,89.6,55.8,53704.78,62159.56,41.9703,-87.665,75642.67
1,60641,70642.0,IL,Cook County,10.3,79.9,28.8,80772.86,47647.71,41.9465,-87.7413,57010.43
